Name,coef.EPAridge.
A'Shawn Robinson,0.014712002
A.J. Bouye,-0.077646354
A.J. Moore,0.193200812
Aaron Donald,-0.003542772
Aaron Lynch,0.080762075
Abdullah Anderson,0.035545307
Abry Jones,0.039842848
Adam Butler,-0.034533803
Adam Gotsis,0.012424489
Adarius Taylor,-0.002833292
Adrian Amos,0.10961902
Adrian Clayborn,-0.017152492
Adrian Colbert,0.382692021
Adrian Phillips,-0.178297798
Ahmad Gooden,0.033938801
AJ Klein,-0.026626318
Akeem King,-0.115718823
Akeem Spence,0.025039658
Akiem Hicks,-0.121462912
Al-Quadin Muhammad,-0.003305367
Al Woods,-0.023880017
Albert Huggins,-0.005568236
Alec Ogletree,-0.065948222
Alex Okafor,-0.064298804
Alexander Johnson,-0.214213171
Allen Bailey,-0.010712783
Amani Hooker,0.015177412
Andrew Adams,-0.365040858
Andrew Billings,0.01623938
Andrew Brown,0.041875973
Andrew Sendejo,-0.05626722
Andrew Van Ginkel,-0.003848587
Andrew Wingard,-0.14611948
Angelo Blackson,-0.001767085
Anthony Barr,0.018693424
Anthony Brown,0.413589495
Anthony Chickillo,0.040021198
Anthony Harris,-0.031171167
Anthony Hitchens,-0.067943641
Anthony Levine,-0.136132878
Anthony Nelson,-0.067884398
Anthony Pittman,-0.14036358
Anthony Rush,0.035499475
Anthony Walker,-0.327509983
Anthony Zettel,0.116169681
Antoine Bethea,-0.131889494
Antwaun Woods,0.006507749
Arden Key,0.136452107
Arik Armstead,-0.048110587
Armon Watts,-0.020266222
Arthur Maulet,0.069467495
Austin Bryant,-0.018781561
Austin Calitro,-0.034361578
Austin Johnson,-0.035017932
Austin Larkin,0.318902547
Avery Moss,0.014980889
Avonte Maddox,0.194383594
Azeez Al-Shaair,-0.013353411
B.J. Goodson,0.178912305
B.W. Webb,-0.15169365
Barkevious Mingo,-0.053789675
Bashaud Breeland,-0.200670522
Beau Allen,-0.036731532
Ben Banogu,0.060356652
Ben Burr-Kirven,0.379432122
Ben Gedeon,0.15069619
Ben Niemann,-0.137119797
Benardrick McKinney,-0.160046821
Bennett Jackson,0.100435251
Benson Mayowa,-0.036469711
Bilal Nichols,0.009026631
BJ Hill,0.044334732
Blake Martinez,-0.135233106
Blessuan Austin,-0.96934137
Blidi Wreh-Wilson,0.009133134
Bobby McCain,0.117675729
Bobby Wagner,-0.306344556
Bradley McDougald,0.101648928
Branden Jackson,-0.033396277
Brandin Bryant,0.054990262
Brandon Carr,-0.283604814
Brandon Copeland,-0.070713775
Brandon Dunn,-0.004025173
Brandon Graham,-0.030674636
Brandon Mebane,-8.89E-04
Brandon Williams,-0.022963277
Brennan Scarlett,0.033684098
Brent Urban,0.013947363
Breon Borders,0.454202087
Brian Burns,0.033368797
Brian Poole,-0.059478066
Briean Boddy-Calhoun,-0.26705346
Bruce Hector,0.046770473
Bruce Irvin,0.029252817
Bryan Cox Jr,0.030809275
Bryan Mone,0.033784988
Brynden Trawick,-0.140810967
Bud Dupree,-0.035626184
Budda Baker,-0.14237037
Buster Skrine,-0.032769504
Byron Cowart,0.053275525
Byron Jones,0.09569096
Byron Murphy,0.065244088
Calais Campbell,0.018368506
Cameron Heyward,-0.031364748
Cameron Jordan,-0.054977099
