PlayerId,Name,Position,Tech1,Tech2,Tech3,Tech4,Tech5,Tech6,Tech7,Tech9,TechOB,TechOUT,Tech2i,Tech4i,Tech0,AverageEPA,TeamEPA,AdjEPA,DVOA,ScaledDVOA,AdjDVOAEPA,TackleForLossSolo,TackleForLossAssisted,SoloTackle,AssistedTackle,SoloSack,AssistedSack,Pressure,PassBreakup,Interception,ForcedFumble,KushRatiing,LeftSide,RightSide,count,DE,DT,DominantSide,DEPred,DTPred,Hybrid,RfPredPos,Team,MiniMaxCluster,LabelledPosition,Age,Age2,AvgSalary,CashEarning2019,TeamPayrollPrec,CapFigure2019,TeamCapPerc,coef.EPAridge.,coef.Sackridge.,coef.OffensiveYardageridge.,coef.Pressureridge.,RidgeRating,DefensiveScheme
933,Carlos Dunlap,DE,0,0,0.014742015,0,0.245700246,0.078624079,0.127764128,0.233415233,0.004914005,0.287469287,0,0.007371007,0,0.018903064,0.045318737,-2.568982997,0.134,0.753781513,0.004654284,2,2,27,16,7,2,34,5,0,2,23.875,268,137,407,1,0,L,0.994750656,0.009491371,0,DE,Bengals,5,DE_5,30,900,13550000,8054709,0.04,10287500,0.05,0.014038344,0.010170416,-0.020766145,0.008043278,0.008632292,4_3
7236,Maxx Crosby,DE,0,0,0.023529412,0.030588235,0.155294118,0.176470588,0.150588235,0.447058824,0.002352941,0,0,0.014117647,0,-0.001388506,0.05933668,-5.905659506,0.148,0.777310924,-0.000309205,6,1,19,10,7,2,34,1,0,2,22.74375,285,139,425,1,0,L,0.940469484,0.059135802,0,DE,Raiders,5,DE_5,22,484,825566,1277264,0.01,690566,0,-0.017528385,-0.003387894,0.106611541,0.007519821,-0.062244263,4_3
2365,Jason Pierre-Paul,DE,0.002020202,0.002020202,0.056565657,0.006060606,0.028282828,0.064646465,0.149494949,0.274747475,0.032323232,0.36969697,0,0.014141414,0,-0.13880781,-0.078124139,-5.90162208,-0.115,0.335294118,-0.092266368,1,1,20,3,7,1,37,3,0,2,21.15,181,298,495,1,0,R,0.975350877,0.022311111,0,DE,Buccaneers,4,DE_4,30,900,3000000,7750000,0.04,7750000,0.04,-0.001173045,0.007135507,-0.233925519,0.023226575,0.185991582,4_3
1164,Cameron Jordan,DE,0.002531646,0.005063291,0.015189873,0.012658228,0.146835443,0.032911392,0.093670886,0.073417722,0.010126582,0.57721519,0,0.030379747,0,-0.123500871,-0.047502664,-7.390994794,-0.043,0.456302521,-0.067147112,1,1,17,7,7,1,41,4,0,0,20.425,318,73,395,1,0,L,0.998173516,0.005750225,0,DE,Saints,4,DE_4,30,900,17500000,17000000,0.08,9547000,0.05,-0.054977099,0.009292728,-0.31250452,0.002344463,0.294587969,Multiple Front
995,Aaron Donald,DT,0.012048193,0.009638554,0.722891566,0.062650602,0.074698795,0.002409639,0.012048193,0.024096386,0.007228916,0.004819277,0.004819277,0.060240964,0.002409639,-0.037729183,-0.032754334,-0.483815139,-0.064,0.421008403,-0.02184488,2,1,11,12,6,3,38,1,0,0,18.91875,199,212,415,0,1,R,0.552653631,0.47250423,1,Hybrid,Rams,1,Hybrid_1,28,784,22500000,9108000,0.05,17108000,0.09,-0.003542772,0.008927842,0.014069264,0.029505716,0.004831174,3_4
27,Cameron Heyward,DE,0.052521008,0.096638655,0.277310924,0.077731092,0.042016807,0.035714286,0.018907563,0.033613445,0.021008403,0.054621849,0.140756303,0.113445378,0.035714286,-0.212083763,-0.194545929,-1.705593394,-0.184,0.219327731,-0.165567912,2,1,22,25,4,1,34,5,0,0,18.66875,48,401,476,1,0,R,0.499516271,0.459858532,1,Hybrid,Steelers,4,Hybrid_4,30,900,9866667,8750000,0.04,14901250,0.07,-0.031364748,0.002627034,-0.215378639,-2.31E-04,0.194154494,3_4
390,Melvin Ingram III,DE,0,0,0.002597403,0,0,0,0,0,0.166233766,0.828571429,0,0.002597403,0,-0.015830945,0.037493822,-5.185952286,0.054,0.619327731,-0.006026402,0,2,21,10,5,2,30,5,1,0,18.5375,173,148,385,1,0,L,0.912891344,0.075945471,0,DE,Chargers,4,DE_4,30,900,16000000,17000000,0.1,19625000,0.1,0.014874339,-4.67E-04,-0.060693475,0.018915895,0.035141241,4_3
998,Robert Quinn,DE,0,0,0.005,0.025,0.0125,0.2475,0.0675,0.605,0,0.015,0,0.0225,0,-0.065161773,-0.034475333,-2.984324594,0.03,0.578991597,-0.027433654,3,0,16,6,5,0,34,0,0,2,17.55625,0,400,400,1,0,R,0.99028133,0.01446281,0,DE,Cowboys,5,DE_5,29,841,8000000,7964563,0.04,7922907,0.04,-0.009744954,0.009280293,-0.140602984,0.023265644,0.12565375,4_3
843,Danielle Hunter,DE,0,0,0.002409639,0.072289157,0.072289157,0.289156627,0.219277108,0.269879518,0,0.043373494,0,0.031325301,0,-0.014908313,-0.049257995,3.340583033,-0.099,0.362184874,-0.009508748,0,0,17,9,6,0,35,0,0,2,17.4,390,25,415,1,0,L,0.981822222,0.017844677,0,DE,Vikings,5,DE_5,24,576,14400000,10500000,0.05,13500000,0.07,-0.003528146,0.002348997,0.030480882,0.016243591,-0.014097119,4_3
4251,Yannick Ngakoue,DE,0,0,0,0.002544529,0.012722646,0.076335878,0.027989822,0.256997455,0.027989822,0.595419847,0,0,0,0.106151662,-0.034027992,13.63278338,0.11,0.713445378,0.030418249,5,0,20,3,4,0,23,3,0,3,17.36875,151,231,393,1,0,R,0.992253521,0.010638298,0,DE,Jaguars,4,DE_4,24,576,870147,2025000,0.01,2239044,0.01,0.016314603,-0.001162525,0.26997308,0.019562637,-0.214485016,4_3
