Name,coef.Pressureridge.
A'Shawn Robinson,-0.037337755
A.J. Bouye,-0.057842542
A.J. Moore,0.01630841
Aaron Donald,0.029505716
Aaron Lynch,0.089752426
Abdullah Anderson,0.059349293
Abry Jones,-0.027757558
Adam Butler,0.026758954
Adam Gotsis,-0.025551296
Adarius Taylor,-0.056452071
Adrian Amos,0.035663163
Adrian Clayborn,0.035095865
Adrian Colbert,0.48844306
Adrian Phillips,-0.119668823
Ahkello Witherspoon,-0.098699045
Ahmad Gooden,-0.020516753
AJ Klein,-0.01949331
Akeem King,-0.09046326
Akeem Spence,-0.072719684
Akiem Hicks,0.02001518
Al-Quadin Muhammad,-0.014752956
Al Woods,0.017475751
Albert Huggins,0.02026853
Alec Ogletree,0.062688755
Alex Okafor,0.055680849
Alexander Johnson,0.12665173
Allen Bailey,-0.006737667
Amani Hooker,-0.077828132
Andrew Adams,-0.031950641
Andrew Billings,-0.040911
Andrew Brown,0.085233137
Andrew Sendejo,0.239801843
Andrew Van Ginkel,-0.028222314
Andrew Wingard,0.036635705
Angelo Blackson,-0.032041645
Anthony Barr,-0.008383466
Anthony Brown,-0.174572272
Anthony Chickillo,-0.05584292
Anthony Harris,-0.095198449
Anthony Hitchens,0.160198369
Anthony Levine,-0.170185366
Anthony Nelson,-0.043419409
Anthony Pittman,0.075114609
Anthony Rush,-0.05059455
Anthony Walker,0.127072116
Anthony Zettel,0.002538199
Antoine Bethea,-0.117069597
Antwaun Woods,-0.065082221
Arden Key,0.041787126
Arik Armstead,0.012623805
Armon Watts,-0.061622247
Arthur Maulet,-0.017212095
Austin Bryant,-4.03E-04
Austin Calitro,-0.085065969
Austin Johnson,-0.015539001
Austin Larkin,0.076896651
Avery Moss,-0.048208805
Avonte Maddox,-0.016888057
Azeez Al-Shaair,-0.042067283
B.J. Goodson,-0.147537983
B.W. Webb,-0.089332399
Barkevious Mingo,0.025508689
Bashaud Breeland,0.15188316
Beau Allen,-0.026126883
Ben Banogu,0.058928096
Ben Burr-Kirven,-0.10567917
Ben Gedeon,-0.108670463
Ben Niemann,0.174087571
Benardrick McKinney,0.105121608
Bennett Jackson,-0.184940442
Benson Mayowa,0.075678593
Bilal Nichols,-0.052882142
BJ Hill,-0.038457654
Blake Martinez,0.091522362
Blessuan Austin,-0.055579395
Blidi Wreh-Wilson,-0.122611871
Bobby McCain,0.093938422
Bobby Wagner,0.161319486
Bradley McDougald,-0.075324847
Branden Jackson,-0.030434315
Brandin Bryant,-0.025242407
Brandon Carr,0.496072819
Brandon Copeland,0.07097944
Brandon Dunn,-0.02612041
Brandon Graham,0.018055279
Brandon Mebane,-0.061881642
Brandon Williams,-0.0457844
Brennan Scarlett,-0.005180123
Brent Urban,-0.056079253
Breon Borders,-0.126832842
Brian Burns,0.012132744
Brian Poole,0.03121859
Briean Boddy-Calhoun,0.221127409
Bruce Hector,0.005260518
Bruce Irvin,0.007686507
Bryan Cox Jr,-0.024686533
Bryan Mone,-0.055502207
Brynden Trawick,0.033315568
Bud Dupree,0.016999362
Budda Baker,-0.008388956
Buster Skrine,-0.104863969
Byron Cowart,-0.054793375
Byron Jones,0.076225774
Byron Murphy,0.100529801
Calais Campbell,0.025109121
Cameron Heyward,-2.31E-04
Cameron Jordan,0.002344463
Cameron Smith,-0.018766476
Cameron Sutton,-0.135518566
Cameron Wake,0.123589944
Caraun Reid,-0.025090102
Carl Davis,-0.057902938
