PlayerId,Name,count,EPA,SoloTackle,AssistedTackle,SoloSack,AssistedSack,Pressure,PassBreakup,Interception,ForcedFumble,LeftSide,RightSide,Tech0,Tech1,Tech2,Tech2i,Tech3,Tech4,Tech4i,Tech5,Tech6,Tech7,Tech9,TechOff,TechOutside,DT,DE,RosterLB,DEBinary,DTBinary,RosterLBBinary,DER,DEL,RosterLBR,RosterLBL,DTR,DTL,DominantSide,DERPrediction,DELPrediction,DE,RosterLBRPrediction,RosterLBLPrediction,LB,DTRPrediction,DTLPrediction,MaxProb,SecondPRob
26,Bud Dupree,478,-0.228819077,19,19,7,1,30,1,0,3,15,455,0,0,0,0,0,0,0,0,0,0,0,8,470,0,0,478,0,0,1,0,0,1,0,0,0,R,0.022535211,0.092265193,0.057400202,0.316755793,0.739253188,,0.005524862,0.006979695,0.739253188,0.316755793
27,Cameron Heyward,476,-0.212083763,22,25,4,1,34,5,0,0,48,401,17,25,46,67,132,37,54,20,17,9,16,10,26,0,476,0,1,0,0,1,0,0,0,0,0,R,0.207412653,0.520324074,0.363868364,0.139826176,0.015833333,,0.219835069,0.498949772,0.520324074,0.498949772
68,Chandler Jones,498,0.040738221,21,11,10,1,38,4,0,4,247,245,0,0,0,0,2,0,1,2,2,8,40,6,437,0,0,498,0,0,1,0,0,0,1,0,0,L,0.125651042,0.188934803,0.157292922,0.350587741,0.504349817,,0.001526718,0.003798034,0.504349817,0.350587741
69,Jamie Collins,106,0.042196934,1,9,0,0,2,1,0,0,20,86,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,106,0,0,1,0,0,1,0,0,0,R,0.027826087,0.008194444,0.018010266,0.342349727,0.524206349,,-1.05E-15,0.002762431,0.524206349,0.342349727
71,Dont'a Hightower,86,-0.055113209,4,2,1,0,8,0,0,0,58,28,0,0,0,1,0,0,0,0,0,0,0,0,85,0,0,86,0,0,1,0,0,0,1,0,0,L,0.018555241,0.001812689,0.010183965,0.346838302,0.338415751,,0.00893186,0.012577778,0.346838302,0.338415751
97,Steve McLendon,224,-0.103390397,13,8,1,1,8,0,0,0,164,26,34,45,32,38,41,8,25,1,0,0,0,0,0,224,0,0,0,1,0,0,0,0,0,0,1,L,0.028993536,0.002139037,0.015566287,3.61E-16,-2.22E-16,,0.496204188,0.486701209,0.496204188,0.486701209
132,Jerry Hughes,344,-0.072260227,3,3,2,0,21,0,0,0,8,332,0,0,0,0,2,4,2,43,66,56,121,4,46,0,344,0,1,0,0,1,0,0,0,0,0,R,0.615336879,0.202058233,0.408697556,0.044533333,0.271557971,,-1.05E-15,0.011126894,0.615336879,0.408697556
162,Aaron Lynch,139,0.178410842,2,0,1,0,11,2,0,0,86,45,0,2,1,1,26,6,6,1,2,7,7,8,72,0,0,139,0,0,1,0,0,0,1,0,0,L,0.248296501,0.248406193,0.248351347,0.214829396,0.258264463,,0.024426079,0.168015666,0.258264463,0.248406193
172,Eric Reid,65,0.2032696,3,4,0,0,1,0,0,0,37,28,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,L,0.001312336,0.034699454,0.018005895,0.477198068,0.291833007,,-1.05E-15,-1.19E-15,0.477198068,0.291833007
180,Arik Armstead,458,-0.005730194,16,12,3,3,32,2,0,1,389,62,5,14,8,20,53,38,47,11,70,56,122,2,12,0,458,0,1,0,0,0,1,0,0,0,0,L,0.271089385,0.572980501,0.422034943,0.039319552,0.00188172,,0.145506536,0.324911817,0.572980501,0.422034943
