Name,coef.Sackridge.
A'Shawn Robinson,-0.007608544
A.J. Bouye,-0.013806102
A.J. Moore,0.102232538
Aaron Donald,0.008927842
Aaron Lynch,-0.002763802
Abdullah Anderson,-0.013013159
Abry Jones,-0.007933928
Adam Butler,0.00165446
Adam Gotsis,0.006433268
Adarius Taylor,-0.029298928
Adrian Amos,0.043936692
Adrian Clayborn,0.002922781
Adrian Colbert,-0.006035439
Adrian Phillips,-0.014719575
Ahkello Witherspoon,-0.016966461
Ahmad Gooden,-0.018744651
AJ Klein,-0.015364095
Akeem King,-0.002173738
Akeem Spence,-0.016036532
Akiem Hicks,3.62E-04
Al-Quadin Muhammad,-0.006347647
Al Woods,-6.22E-04
Albert Huggins,0.013528848
Alec Ogletree,0.083426543
Alex Okafor,0.023016844
Alexander Johnson,-0.024304025
Allen Bailey,-0.012127376
Amani Hooker,-0.010574496
Andrew Adams,0.095826024
Andrew Billings,-0.007583598
Andrew Brown,-0.009421311
Andrew Sendejo,0.103981286
Andrew Van Ginkel,0.001007456
Andrew Wingard,0.027437617
Angelo Blackson,-0.010035832
Anthony Barr,-0.008772623
Anthony Brown,-0.020420883
Anthony Chickillo,-0.005877639
Anthony Harris,-0.016355416
Anthony Hitchens,-0.013147003
Anthony Levine,-0.021196945
Anthony Nelson,0.011236214
Anthony Pittman,-0.013367654
Anthony Rush,0.003796002
Anthony Walker,0.095596787
Anthony Zettel,-0.017031687
Antoine Bethea,-0.009781246
Antwaun Woods,-0.013901826
Arden Key,0.00861872
Arik Armstead,7.63E-04
Armon Watts,-0.003218902
Arthur Maulet,0.051033211
Austin Bryant,-0.010955183
Austin Calitro,-0.022981718
Austin Johnson,-0.003578907
Austin Larkin,-0.014027199
Avery Moss,-0.012673523
Avonte Maddox,-0.025319583
Azeez Al-Shaair,-0.011150112
B.J. Goodson,-0.006508134
B.W. Webb,-0.01811622
Barkevious Mingo,-0.005770116
Bashaud Breeland,-0.032627132
Beau Allen,0.008058724
Ben Banogu,0.010346039
Ben Burr-Kirven,-0.005294889
Ben Gedeon,-0.015921175
Ben Niemann,0.114958598
Benardrick McKinney,-0.019451127
Bennett Jackson,-0.023692154
Benson Mayowa,0.010194637
Bilal Nichols,-0.008729497
BJ Hill,-0.0058534
Blake Martinez,-0.020906465
Blessuan Austin,-0.011109433
Blidi Wreh-Wilson,-0.024751586
Bobby McCain,-0.020631152
Bobby Wagner,0.229914412
Bradley McDougald,-0.013885987
Branden Jackson,-0.016909592
Brandin Bryant,7.51E-04
Brandon Carr,-0.013135393
Brandon Copeland,0.031259293
Brandon Dunn,-0.008374978
Brandon Graham,0.00643134
Brandon Mebane,-0.009518369
Brandon Williams,-0.001949456
Brennan Scarlett,-0.005117582
Brent Urban,-0.003036417
Breon Borders,-0.018033007
Brian Burns,0.006626184
Brian Poole,0.03619282
Briean Boddy-Calhoun,0.221028855
Bruce Hector,-0.018207363
Bruce Irvin,0.001451709
Bryan Cox Jr,0.002801441
Bryan Mone,-0.01550188
Brynden Trawick,-0.003199973
Bud Dupree,0.003954793
Budda Baker,0.022622174
Buster Skrine,-0.006382863
Byron Cowart,-0.021337458
Byron Jones,-0.013274634
Byron Murphy,-0.014848731
Calais Campbell,-0.001364602
Cameron Heyward,0.002627034
Cameron Jordan,0.009292728
Cameron Smith,-0.032577201
Cameron Sutton,-0.038107706
Cameron Wake,0.005531758
Caraun Reid,-0.020087791
Carl Davis,0.032433602
Carl Granderson,0.00215938
Carl Lawson,0.004667777
Carl Nassib,-0.003147102
Carlos Dunlap,0.010170416
Carlos Watkins,-0.01016721
Carlton Davis,-0.025101717
Carroll Phillips,-0.024192355
Cassius Marsh,0.005249178
Chad Thomas,-0.003953641
Chandler Jones,-0.002204811
Chandon Sullivan,-0.01851161
Charles Harris,-0.007151012
Charles Omenihu,-0.001498967
Chase Winovich,-0.003680631
Chauncey Gardner-Johnson,0.00226834
Chidobe Awuzie,-0.01713897
